NOWL/0/Outbound/1/MTWRF
Townsend St & 5th St,Townsend St & 5th St,86400,88200,90000,91800,93600,95400,97200,99000,100800,102600,104460,106320,
Townsend St & 4th St,Townsend St & 4th St,86424,88224,90024,91824,93624,95424,97224,99024,100824,102624,104484,106344,
King St & 2nd St,King St & 2nd St,86549,88349,90149,91949,93749,95549,97349,99149,100949,102749,104609,106469,
The Embarcadero & Brannan St,The Embarcadero & Brannan St,86649,88449,90249,92049,93849,95649,97449,99249,101049,102849,104709,106569,
The Embarcadero & Folsom St,The Embarcadero & Folsom St,86777,88577,90377,92177,93977,95777,97577,99377,101177,102977,104837,106697,
Don Chee Way/Steuart St,Don Chee Way/Steuart St,86880,88680,90480,92280,94080,95880,97680,99480,101280,103080,104940,106800,
Steuart St & Market St,Steuart St & Market St,86902,88702,90502,92302,94102,95902,97702,99502,101302,103102,104962,106822,
Market St & Drumm St,Market St & Drumm St,86948,88748,90548,92348,94148,95948,97748,99548,101348,103148,105008,106868,
Market St & Battery St,Market St & Battery St,87038,88838,90638,92438,94238,96038,97838,99638,101438,103238,105098,106958,
Market St & 2nd St,Market St & 2nd St,87106,88906,90706,92506,94306,96106,97906,99706,101506,103306,105166,107026,
Market St & Kearny St,Market St & Kearny St,87169,88969,90769,92569,94369,96169,97969,99769,101569,103369,105229,107089,
Market St & Stockton St,Market St & Stockton St,87245,89045,90845,92645,94445,96245,98045,99845,101645,103445,105305,107165,
Market St & 5th  St,Market St & 5th  St,87310,89110,90910,92710,94510,96310,98110,99910,101710,103510,105370,107230,
Market St & Taylor St,Market St & Taylor St,87378,89178,90978,92778,94578,96378,98178,99978,101778,103578,105438,107298,
Market St & 7th St,Market St & 7th St,87446,89246,91046,92846,94646,96446,98246,100046,101846,103646,105506,107366,
Market St & Hyde St,Market St & Hyde St,87504,89304,91104,92904,94704,96504,98304,100104,101904,103704,105564,107424,
Market St & Van Ness Ave,Market St & Van Ness Ave,87660,89460,91260,93060,94860,96660,98460,100260,102060,103860,105720,107580,
Market St & Gough St,Market St & Gough St,87727,89527,91327,93127,94927,96727,98527,100327,102127,103927,105787,107647,
Market St & Laguna St,Market St & Laguna St,87806,89606,91406,93206,95006,96806,98606,100406,102206,104006,105866,107726,
